EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 163, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 164, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 165, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 166, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 167, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 168, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 169, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 170, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 171, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 172, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 173, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 174, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 175, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 176, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 177, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 178, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 179, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 180, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 181, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 182, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 183, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 184, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 185, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 186, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 187, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 188, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 189, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 190, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 191, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 192, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 193, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 194, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 195, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 196, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 197, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 198, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 199, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 200, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 201, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 202, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 203, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 204, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 205, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 206, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 207, ErrorFrames = 0
EB/N0 = 0.950000, BER = 0.000000, FER = 0.000000, CW = 208, ErrorFrames = 0
